FZLanTingHeiPro_GB18030 Regular	方正兰亭黑Pro_GB18030
FZLanTingHeiPro_GB18030_Bold	方正兰亭黑Pro_GB18030 Bold
FZLanTingHeiPro_GB18030_DemiBold	方正兰亭黑Pro_GB18030 DemiBold
FZLanTingHeiPro_GB18030_ExtraBold	方正兰亭黑Pro_GB18030 ExtraBold
FZLanTingHeiPro_GB18030_ExtraLight	方正兰亭黑Pro_GB18030 ExtraLight
FZLanTingHeiPro_GB18030_Heavy	方正兰亭黑Pro_GB18030 Heavy
FZLanTingHeiPro_GB18030_Light	方正兰亭黑Pro_GB18030 Light
FZLanTingHeiPro_GB18030_Medium	方正兰亭黑Pro_GB18030 Medium
FZLanTingHeiPro_GB18030_SemiBold	方正兰亭黑Pro_GB18030 SemiBold
